Ticket ID,Ria Order Number,month,Order Status,data_source,Customer Sending Location
21631484,AU1599515663,2026-02,Paid,inbound,EW103
22355611,AU1601273564,2026-03,Legal Hold,inbound,EW103
22355934,AU1601273564,2026-03,Legal Hold,inbound,EW103
21733375,AU164525864,2026-02, ,inbound,AU5249
21735506,AU164525864,2026-02,Canceled,inbound,AU5249
22384362,AU1648437264,2026-03,Legal Hold,inbound,AU5534
22384465,AU1648437264,2026-03,Sent to Corresp,inbound,AU5534
22467295,AU1703439864,2026-03,Paid,messaging,EW103
22490087,AU1703439864,2026-03,Paid,inbound,EW103
21512609,AU1751319463,2026-02,Legal Hold,inbound,EW103
21629190,AU1751319463,2026-02,Canceled,inbound,EW103
21842161,AU1751319463,2026-03,Canceled,inbound,EW103
21551506,AU1869190763,2026-02,Canceled,inbound,EW103
21732248,AU1869190763,2026-02,Refunded,inbound,EW103
22504312,AU1872500064,2026-03,Sent to Corresp,inbound,EW103
22504392,AU1872500064,2026-03,Sent to Corresp,inbound,EW103
21711508,AU2094792163,2026-02,Legal Hold,inbound,EW103
21762503,AU2094792163,2026-02,Legal Hold,inbound,EW103
21763083,AU2094792163,2026-02,Legal Hold,inbound,EW103
21785359,AU2094792163,2026-02,Legal Hold,inbound,EW103
22727685,AU212581209,2026-04,Resent,inbound,AU5417
22727702,AU212581209,2026-04,Resent,inbound,AU5417
22755059,AU324773609,2026-04,Refunded,inbound,EW103
22830477,AU367115709,2026-04,Sent to Corresp,inbound,EW103
22862333,AU367115709,2026-04,Canceled,inbound,EW103
23099127,AU367115709,2026-04,Refunded,inbound,EW103
22887275,AU626663509,2026-04,Refunded,inbound,EW103
23073008,AU626663509,2026-04,Refunded,inbound,EW103
21988839,AU646764864,2026-03,Paid,inbound,AU5088
22018779,AU646764864,2026-03,Paid,inbound,AU5088
22081826,AU646764864,2026-03,Paid,inbound,AU5088
23015414,AU677740709,2026-04,Canceled,inbound,AU5534
22937886,AU688480309,2026-04,Canceled,messaging,EW103
23098829,AU688480309,2026-04,Canceled,inbound,EW103
22943494,AU690298109,2026-04,Sent to Corresp,inbound,EW103
22987556,AU690298109,2026-04,Canceled,inbound,EW103
21989080,AU695122664,2026-03,Paid,inbound,EW103
22054444,AU695122664,2026-03,Paid,inbound,EW103
23044052,AU728015609,2026-04,Sent to Corresp,messaging,EW103
22079621,AU834768164,2026-03,Paid,inbound,EW103
22080206,AU834768164,2026-03,Paid,inbound,EW103
23072264,AU863725009,2026-04,Paid,inbound,EW103
23122487,AU863725009,2026-04,Refunded,messaging,EW103
